²Ü²©Ì©	20	88.3	108.3
²Üµtè¯	75	84.2	159.2
²ÜË©º­	60	82.2	142.2
²ÜæÂÁÜ	20	81.4	101.4
²Ü²©Ì¶	22.5	72.3	94.8
²ÜÈ»Áú	72.5	72.3	144.8
²Ü²©³ç	60	86.6	146.6
²Ü±ò»¶	20	86.6	106.6
²ÜÕýÈ½	72	72.8	144.8
²Ü²©³Î	22.5	72.3	94.8
²Ü½¨Çà	62.5	75.5	138.0
²Üè¯«h	77.5	82.2	159.7
²Ü²©³Ï	64	76.8	140.8
²ÜÈå²©	64.5	72.6	137.1
²ÜìûÓ©	21	73.2	94.2
²ÜÕýÈ»	92.5	80.5	173.0
²Ü¼øÇå	60	84.9	144.9
²Ü²©³©	24	76.8	100.8
²Ü²©³Ë	60	83.9	143.9
²Ü²©³¯	60	81.4	141.4
²ÜÑÅÁá	20	83.9	103.9
²Ü²©³Ð	60	69.5	129.5
²Ü²©³¨	60	81.4	141.4
²Ü²©³Ø	20	75.9	95.9
²ÜÈ»ÁÁ	70	88.3	158.3
²Ü²©³¬	60	81.4	141.4
²Ü²©³Û	24	86.5	110.5
²ÜÈ»Á¢	72.5	72.2	144.7
²Ü²©³£	60	86.6	146.6
²ÜÈ»Á¼	70	75.9	145.9
²Ü¸øº­	20	81.4	101.4
²Ü²©³¾	24	76.8	100.8
²Ü²©³Ç	60	83.9	143.9
²Ü²©³½	60	75.9	135.9
²ÜÁ¬²©	24	85.0	109.0
²Ü²©³¼	62.5	73.5	136.0
²Ü²©³µ	60	75.9	135.9
²ÜÐìÍú	97.5	76.7	174.2
²Ü¹Úç÷	20	81.6	101.6
²ÜÖÐ²©	24	78.8	102.8
²Üº¼Ôó	25	92.6	117.6
²ÜÈ»Á¦	70	83.4	153.4
²Üç¸å©	20	90.8	110.8
²ÜÊæÐÄ	92	78.1	170.1
²Ü×Ïè¯	70	76.4	146.4
²Ü¾¼Áé	60	71.7	131.7
²Ü³Ï²©	64	85.0	149.0
²ÜßØßØ	90	74.0	164.0
²Üá¿²©	60	94.5	154.5
²ÜÊæÐÀ	60	69.5	129.5
²Ü²©½ò	20	83.9	103.9
²ÜÏþË¶	77	67.6	144.6
²Ü¼ÑÏª	21	83.9	104.9
²Ü´¿½ð	90.5	76.7	167.2
²ÜÎóº­	64	85.0	149.0
²ÜÂéÊó	60	88.4	148.4
²ÜÈçÏÄ	76	81.9	157.9
²ÜÕþÊ¢	71	75.5	146.5
²Üî¸Çì	64	84.3	148.3
²ÜÞÈÑô	64	69.6	133.6
²ÜáÉ²©	61	81.5	142.5
²Ü´¨Ãì	64	86.2	150.2
²ÜÖ¾¸Õ	73.5	77.9	151.4
²ÜÞÈè¯	22.5	75.5	98.0
²ÜÍ©Ïª	20	74.1	94.1
²ÜÐÀ²©	21	75.5	96.5
²ÜµÂÖÒ	62	91.2	153.2
²ÜÁÖ²©	21	75.5	96.5
²ÜÕþÊ÷	21	80.7	101.7
²Ü´ýº­	20	87.2	107.2
²ÜÔªÁÕ	22.5	71.8	94.3
²Ü¿Â²©	20	87.2	107.2
²ÜÃôª	60	96.4	156.4
²Üì÷·«	20	81.5	101.5
²ÜÓ×ÁÕ	64.5	81.1	145.6
²ÜÂûÑ©	23.5	74.1	97.6
²ÜÔªÁÖ	20	74.9	94.9
²ÜÓ¢¿¡	20	76.9	96.9
